Date,Date,Limiting Magnitude,Longitude_x,Latitude_x,Latitude_y,Longitude_y
1,2012,3.8160919540229883,-106.51114137931033,32.28569655172415,32.31439655172416,-106.72882758620698
1,2013,3.9193548387096775,-105.61451774193549,33.70562419354838,33.72242580645161,-105.72224193548392
1,2014,3.6578947368421053,-109.58785855263152,32.454063815789446,32.49128157894732,-109.77578947368406
1,2015,4.795454545454546,-102.61001363636363,31.39433409090909,31.500972727272725,-102.7237045454545
1,2016,4.0,-103.36385555555557,34.038922222222226,34.00932222222222,-103.56711111111112
1,2017,3.681159420289855,-109.74988840579712,33.03929130434782,33.15568695652178,-109.98568115942042
1,2018,3.388888888888889,-114.48094444444443,34.651191666666676,34.773505555555545,-114.7331111111111
2,2008,3.9454545454545453,-107.36987318181822,33.6597759090909,33.72544772727272,-107.54268181818186
2,2011,3.8019323671497585,-106.05107053140105,32.84142608695652,32.85954637681158,-106.20486473429948
2,2012,3.5747422680412373,-109.51752396907213,32.491853350515456,32.474587628866125,-109.6850360824747
2,2013,3.6825396825396823,-108.9013825396825,32.851411111111105,32.81996428571425,-109.09948412698401
2,2014,4.58,-100.71601200000005,33.130335999999986,33.159076,-100.73922000000002
2,2015,3.235294117647059,-108.02303865546224,31.68809327731093,31.74773025210081,-108.3246470588235
2,2016,3.4132231404958677,-103.03460413223138,39.329228099173534,39.6189892561983,-103.38065289256186
2,2017,3.782608695652174,-103.81211739130438,38.305670434782584,38.553724347826034,-104.15293913043467
2,2018,3.2588235294117647,-105.08613411764702,39.53362235294118,39.83890235294112,-105.41635294117657
3,2006,4.070707070707071,-101.76031447811448,34.26431515151512,34.29987912457907,-101.8274781144782
3,2007,4.15,-103.30400564516124,34.31182290322583,34.32713322580664,-103.41745645161308
3,2008,3.773913043478261,-108.90738999999995,33.021881304347815,33.04813014492763,-109.0927898550731
3,2009,4.112016293279022,-103.74188879837074,34.323223625254606,34.34664215885959,-103.83731160896146
3,2010,3.9901697944593386,-108.11010169794483,33.11515746201971,33.16458176943681,-108.29589186773963
3,2011,3.364951768488746,-105.62266913183277,33.757114951768514,33.77926045016113,-105.81760771704228
3,2012,3.7975206611570247,-109.18845082644614,33.05434545454544,33.055518595041285,-109.31992148760361
3,2013,3.5458333333333334,-102.65272041666665,35.066811666666666,35.15575541666674,-102.80704583333325
3,2014,3.2133333333333334,-110.68159760000007,32.42671680000005,32.49272240000016,-110.8512720000006
3,2015,3.6440677966101696,-104.11462542372884,32.93569661016949,32.99768305084746,-104.25249152542375
3,2016,3.099009900990099,-99.72688217821782,39.51019900990099,39.786761386138565,-100.01692079207915
3,2017,3.4,-102.59675499999999,36.568675,36.617125,-102.81885
3,2018,3.5384615384615383,-103.97536923076922,39.113861538461535,39.31620000000001,-104.2266923076923
4,2007,3.25,-110.87375,32.182500000000005,32.296699999999994,-111.16700000000002
4,2009,5.0,-110.992,32.2104,32.2967,-111.167
4,2011,3.0392156862745097,-108.4118931372549,32.9842843137255,33.05215392156862,-108.71376470588234
4,2012,3.273529411764706,-100.32453352941165,35.37027911764708,35.47434794117657,-100.45767058823523
4,2013,2.9881889763779528,-109.05089606299218,33.08402086614172,33.17037283464565,-109.32107480315003
4,2014,3.0585774058577404,-109.16012008368205,32.08291380753137,32.13371087866101,-109.40287866108815
4,2015,3.533333333333333,-107.69212333333333,34.48440333333334,34.57533666666666,-107.76219999999998
4,2016,3.523206751054852,-105.15550253164562,39.51136877637128,39.78965021097062,-105.46529113924065
4,2017,4.052631578947368,-106.3804605263158,38.25603947368421,38.412492105263155,-106.64778947368428
4,2018,4.131578947368421,-91.74203026315789,41.218559210526315,41.30353026315786,-91.88299999999991
5,2013,3.041176470588235,-103.17099352941177,33.19795529411764,33.22589294117649,-103.3486058823529
5,2014,3.5806451612903225,-95.6282935483871,37.762211290322576,37.83064032258065,-95.7219193548388
5,2015,3.2222222222222223,-97.47678333333336,34.856733333333324,34.90622222222222,-97.54855555555555
5,2016,3.242424242424242,-102.28630606060607,35.52009090909091,35.52931818181818,-102.44318181818184
5,2017,5.025974025974026,-108.20235844155843,32.8317935064935,32.8873285714286,-108.33346753246765
5,2018,3.0232558139534884,-102.54761162790696,35.94549534883722,35.80123023255813,-102.79137209302336
6,2013,3.909090909090909,-99.48480909090908,34.35187272727273,34.31665454545455,-99.56045454545455
6,2014,4.090909090909091,-110.61480151515153,32.45355606060605,32.520327272727314,-110.74212121212133
6,2015,6.135135135135135,-110.98712702702704,34.83764594594593,34.964044594594604,-111.09658108108117
6,2016,3.4,-98.5593,37.17284,37.14608,-98.6424
6,2017,5.583333333333333,-113.27094583333333,32.54590833333334,32.68964999999999,-113.522125
6,2018,4.222222222222222,-108.42483333333332,38.80016666666667,38.81248888888889,-108.51122222222222
7,2013,5.0,-96.16214761904764,40.720790476190466,40.726261904761905,-96.08242857142857
7,2014,4.777777777777778,-111.46058333333336,40.03009722222223,40.180858333333326,-111.50405555555562
7,2015,4.857142857142857,-104.18660714285716,34.459021428571425,34.43163571428572,-104.27557142857141
7,2016,5.133333333333334,-101.81552000000002,37.31184666666666,37.28386,-101.84206666666668
7,2017,5.255813953488372,-89.61363023255814,40.913690697674404,40.882799999999975,-89.61111627906983
7,2018,5.0,-105.51100000000001,39.9614,40.3428,-105.684
8,2013,5.111111111111111,-106.25056111111111,38.86218888888888,38.87983888888889,-106.26383333333334
8,2014,4.925925925925926,-106.32786296296295,34.944700000000005,34.91415185185184,-106.4537407407407
8,2015,4.285714285714286,-105.51777142857142,34.92639523809523,35.022523809523804,-105.3352857142857
8,2016,4.2,-100.52073666666665,36.31373333333333,36.18174666666667,-100.53070000000007
8,2017,4.82258064516129,-93.0191790322581,40.691383870967734,40.73702419354839,-93.05232258064517
8,2018,6.5,-109.0125,38.94345,38.9679,-108.93549999999999
9,2013,5.090909090909091,-101.37981363636364,33.44736363636363,33.45580909090909,-101.45631818181822
9,2014,4.74468085106383,-104.24646170212765,35.03914255319149,35.018534042553185,-104.3526595744681
9,2015,4.875,-102.62813125,36.95849375000001,36.99054062499999,-102.57431250000002
9,2016,3.0,-109.15351037735854,32.71809433962265,32.786117924528284,-109.36393396226411
9,2017,4.378640776699029,-105.11213106796117,38.475855339805825,38.698877669902885,-105.29188349514581
9,2018,3.6470588235294117,-85.19576470588234,38.82185882352942,38.77515294117646,-85.03388235294122
10,2011,3.554054054054054,-111.02243243243242,32.25074932432433,32.296699999999944,-111.1669999999998
10,2013,5.428571428571429,-98.7731857142857,36.82964285714286,36.8863,-98.5292857142857
10,2014,3.9473684210526314,-110.78788421052636,32.681226315789466,32.684736842105266,-110.92599999999996
10,2015,4.6,-105.61761200000001,34.136052000000014,34.13694799999998,-105.63651999999996
10,2016,3.8,-105.2722,40.007760000000005,40.3428,-105.684
10,2017,4.171428571428572,-104.33178428571429,38.70147857142857,38.877358571428545,-104.59861428571436
10,2018,3.8181818181818183,-104.16313636363635,39.51807272727273,39.81297272727273,-104.419
11,2013,3.8947368421052633,-90.03065263157893,28.11977368421053,28.04877894736842,-90.0825263157895
11,2014,4.3061224489795915,-101.86380204081634,33.87884489795917,33.928351020408144,-102.00873469387759
11,2015,4.590909090909091,-104.95496363636362,33.997322727272724,34.10168181818181,-104.94263636363631
11,2017,3.288135593220339,-105.0034372881356,39.03052542372882,39.32134576271182,-105.36686440677974
11,2018,3.56,-104.41490799999998,39.71421599999999,39.98152,-104.73415999999999
12,2013,4.666666666666667,-123.68875000000001,28.1029,28.055066666666665,-123.68316666666665
12,2014,4.607142857142857,-101.00517500000001,29.44882500000001,29.510724999999997,-101.07217857142855
12,2015,2.857142857142857,-91.72827857142856,36.274157142857135,36.218535714285714,-91.70149999999998
12,2017,3.458128078817734,-105.5179699507389,39.31995024630543,39.633800492610966,-105.91026108374388
12,2018,3.288,-105.07140960000004,39.52883200000001,39.8496664,-105.45461599999983
